"ID","PARENTID","ORDER_NUMBER","OBJ_TYPE","CODE","NAME","MENU_NAME","STATUS","CREATEDATE","UPDATEDATE","CREATEBY","UPDATEBY","APPROVEDDATE","APPROVEDBY","ISSHOWMENU","URL","ICON_FONT","UI_SREF","CHILD_TYPE"
"1160","780","9","1","CTMTQG_BAOCAO_TH","Báo cáo tổng hợp","Báo cáo tổng hợp","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl",,"v-2-ctmtqg-tong-hop-pl",
"1162","1160","2","1","BC_TONGHOP_PL02","Phụ lục 02","Phụ lục 02","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/02",,"v-2-ctmtqg-tong-hop-pl-02",
"1164","1160","4","1","BC_TONGHOP_PL04","Phụ lục 04","Phụ lục 04","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/04",,"v-2-ctmtqg-tong-hop-pl-04",
"1221","1040","8","1","CTLNBV_REPORT_08","BC08 - PL2 Dự kiến kế hoạch","BC08 - PL2 Dự kiến kế hoạch","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-08",,"v-2-ctlnbv-report-08",
"1222","1040","9","1","CTLNBV_REPORT_09","BC09 - PL3 Kế hoạch hoạt động đặc thù","BC09 - PL3 Kế hoạch hoạt động đặc thù","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-09",,"v-2-ctlnbv-report-09",
"841","840","7.1","1","TTTTN_DA","Thông tin dự án","Thông tin dự án","1",,,,,,,"1","/#!/admin/v-2-ttttn-da-management/v-2-ttttn-da",,"v-2-ttttn-da",
"1005","940","7.81","1","CTMTQG_BAOCAO_08A","Báo cáo 08A","Báo cáo 08A","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-08a",,"v-2-ctmtqg-report-08a",
"1021","920","4","1","CTLNBV_YEAR_PLAN_SUGGEST","Kế hoạch hằng năm đề xuất","Kế hoạch hằng năm đề xuất","1",,,,,,,"1","/#!/admin/ctlnbv-year-plan",,"ctlnbv-year-plan",
"1012","1009","3","0","330703","Đơn vị tự kiểm duyệt","Đơn vị tự kiểm duyệt","1",,,,,,,"1","/#!/admin/v2-nationnal-target/report-management-dn","fa fa-sliders","doanh-nghiep-report-management({objTypeName:'v2-nationnal-target'})",
"1020","920","8","1","CTLNBV_HSTKKT","Quản lý hồ sơ thiết kế kỹ thuật","Quản lý hồ sơ thiết kế kỹ thuật","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-hstkkt-management/v-2-ctlnbv-hstkkt",,"v-2-ctlnbv-hstkkt",
"1040","920","10","1","CTLNBV_YEAR_PLAN_REPORT","Báo cáo thống kê","Báo cáo thống kê","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management",,"v-2-ctlnbv-report-management",
"1041","1040","5","1","CTLNBV_REPORT_05","BC05 - KHV năm được duyệt","BC05 - KHV năm được duyệt","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-05",,"v-2-ctlnbv-report-05",
"1163","1160","3","0","BC_TONGHOP_PL03","Phụ lục 03","Phụ lục 03","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/03",,"v-2-ctmtqg-tong-hop-pl-03",
"1180","1160","5","0","BC_TONGHOP_PL05","Phụ lục 05","Phụ lục 05","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/05",,"v-2-ctmtqg-tong-hop-pl-05",
"823","780","4","1","3304","Kế hoạch trung hạn","Kế hoạch trung hạn","1",,,,,,,"1","/#!/admin/v-2-ke-hoach-trung-hans",,"v-2-ke-hoach-trung-hans",
"901","840","7.4","1","TTTTN_THTHHM","Tình hình thực hiện hạng mục","Tình hình thực hiện hạng mục","1",,,,,,,"1","/#!/admin/v-2-ttttn-tinh-hinh-thuc-hien",,"v-2-ttttn-tinh-hinh-thuc-hien",
"1081","1080","1","0","REPORT_DKT_01","Nộp báo cáo","Nộp báo cáo","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report/send-report","fa fa-sliders","send-report({objTypeName:'v2-ctlnbv-report'})",
"821","780","2","1","3302","Quyết định đầu tư","Quyết định đầu tư","1",,,,,,,"1","/#!/admin/national-target-program-manage",,"v-2-national-target-programs",
"941","940","7.1","1","CTMTQG_BAOCAO_01","Báo cáo 01","Báo cáo 01","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-01",,"v-2-ctmtqg-report-01",
"1006","940","7.82","1","CTMTQG_BAOCAO_08B","Báo cáo 08B","Báo cáo 08B","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-08b",,"v-2-ctmtqg-report-08b",
"1023","920","6","1","CTLNBV_HIEN_TRANG_RUNG","Quản lý hiện trạng rừng hằng năm","Quản lý hiện trạng rừng hằng năm","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-rung-nam",,"v-2-ctlnbv-rung-nam",
"1045","920","7","1","CTLNBV_RUNG_DON_VI_QUAN_LY","Hiện trạng rừng theo đơn vị quản lý","Hiện trạng rừng theo đơn vị quản lý","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-rung-quan-ly",,"v-2-ctlnbv-rung-quan-ly",
"1080","920","9","0","330706","DKT: Nộp, Kiểm duyệt báo cáo","Nộp, Kiểm duyệt báo cáo","1",,,,,,,"1","DKT: Nộp, Kiểm duyệt báo cáo",,,
"1120","81","9","0","5555","Dashboard Bản đồ Doanh nghiệp","Bản đồ doanh nghiệp","1",,,,,,,"1","/#!/dashboard-doanh-nghiep/ban-do-doanh-nghiep","fa fa-map-marker","ban-do-doanh-nghiep",
"820","780","1","1","3301","Chủ trương đầu tư","Chủ trương đầu tư","1",,,,,,,"1","/#!/admin/chu-truong-dau-tus",,"chu-truong-dau-tu",
"902","840","7.5","1","TTTTN_QLNS","Quản lý ngân sách","Quản lý ngân sách","1",,,,,,,"1","/#!/admin/v-2-ttttn-quan-ly-ngan-sach",,"v-2-ttttn-quan-ly-ngan-sach",
"904","860","7.62","1","TTTTN_BC_02","Phụ lục 02: Cơ cấu trình độ chuyên môn, giới tính, ngành nghề, dân tộc","Phụ lục 02: Cơ cấu trình độ chuyên môn, giới tính, ngành nghề, dân tộc","1",,,,,,,"1","/#!/admin/v-2-ttttn-report-management/report-02",,"v-2-ttttn-report-02",
"905","860","7.63","1","TTTTN_BC_03","Phụ lục 03: Kết quả thực hiện dự án TTTTN","Phụ lục 03: Kết quả thực hiện dự án TTTTN","1",,,,,,,"1","/#!/admin/v-2-ttttn-report-management/report-03",,"v-2-ttttn-report-03",
"921","920","1","1","1000","Chủ trương đầu tư","Chủ trương đầu tư","1",,,,,,,"1","/#!/admin/ctlnbv-chu-truong-dau-tu-management/ctlnbv-chu-truong-dau-tu",,"ctlnbv-chu-truong-dau-tu",
"942","940","7.2","1","CTMTQG_BAOCAO_02","Báo cáo 02","Báo cáo 02","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-02",,"v-2-ctmtqg-report-02",
"1001","940","7.5","1","CTMTQG_BAOCAO_05","Báo cáo 05","Báo cáo 05","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-05",,"v-2-ctmtqg-report-05",
"1003","940","7.71","1","CTMTQG_BAOCAO_7A","Báo cáo 07A","Báo cáo 07A","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-7a",,"v-2-ctmtqg-report-7a",
"1024","920","3.2","0","CTLNBV-DA","Quản lý dự án","Quản lý dự án","1",,,,,,,"1","/#!/admin/ctlnbv-du-an-management/ctlnbv-duan",,"ctlnbv-duan",
